request_id,user_id,request_date,requested_amount,expected_affordability_status,predicted_affordability_status,expected_recommended_payment_method,predicted_recommended_payment_method,expected_amount_safe_to_pay,predicted_amount_safe_to_pay,expected_payment_plan,predicted_payment_plan,expected_earliest_date_for_full_payment,predicted_earliest_date_for_full_payment,expected_spending_changes_needed,predicted_spending_changes_needed,current_available_balance,minimum_balance_to_keep,forecast_minimum_balance,forecast_minimum_balance_date,recurring_income_included,recurring_expenses_included,scheduled_income_included,scheduled_expenses_included,pending_events_included,linked_events_involved,missing_amount_events_involved,message_derived_events_included
request_01,user_01,2024-03-03,25256,affordable_now,not_affordable,full_payment,not_recommended,25256,9498.21,2024-03-03:25256,none,2024-03-03,,none,none,58481.1,18000,27498.21,2024-05-31,none,debt_repayment|delivery_membership|dining|education|groceries|music_subscription|rent|transport|utilities,event_103,none,event_102,none,none,none
request_02,user_02,2025-08-05,46018000,affordable_with_plan,affordable_with_plan,installments,installments,17229139.2,20118009.39,2025-08-08:15952906.67|2025-09-07:15952906.67|2025-10-07:15952906.67,2025-08-08:15952906.67|2025-09-07:15952906.67|2025-10-07:15952906.67,2025-09-15,2025-09-13,none,none,60383889.2,29158400,49276409.39,2025-08-12,salary,cloud_storage|education|entertainment|healthcare|housing|insurance|transport|utilities,none,none,event_185,none,none,none
request_03,user_03,2019-09-03,5491000,affordable_later,affordable_later,wait,wait,873000,1303285.04,2019-11-15:5491000,2019-10-19:5491000,2019-11-15,2019-10-19,none,none,5810300,2668700,3971985.04,2019-09-13,salary,cloud_storage|rent|shopping|streaming|utilities,none,none,event_254,none,event_253,none
request_04,user_04,2024-06-04,12693000,affordable_later,affordable_later,wait,wait,8401800,10542318.02,2024-06-15:12693000,2024-06-13:12693000,2024-06-15,2024-06-13,none,none,52206950,30686600,41228918.02,2024-06-12,salary,delivery_membership|dining|entertainment|groceries|gym|music_subscription|rent|transport|utilities,none,event_357,none,none,none,none
request_05,user_05,2025-11-06,15488,not_affordable,affordable_now,not_recommended,full_payment,737,15488,none,2025-11-06:15488,,2025-11-06,none,none,46475.1,13100,42274.67,2025-11-12,salary,cloud_storage|debt_repayment|family_support|groceries|healthcare|rent|shopping|transport|utilities,none,none,none,none,none,none
request_06,user_06,2026-01-03,620.4,affordable_with_plan,affordable_now,full_payment,full_payment,603.3,620.4,2026-01-03:620.40,2026-01-03:620.4,2026-01-15,2026-01-03,stop:event_476,none,1942.4,800,1618.73,2026-01-13,salary,cloud_storage|dining|entertainment|insurance|rent|shopping|streaming|transport|utilities,none,none,none,none,none,none
request_07,user_07,2024-09-05,197400,affordable_with_plan,affordable_with_plan,installments,installments,87170.56,94960.66,2024-09-12:68432|2024-10-10:68432|2024-11-07:68432,2024-09-12:68432|2024-10-10:68432|2024-11-07:68432,2024-10-23,2024-10-22,none,none,218945.56,93000,187960.66,2024-09-12,salary,debt_repayment|groceries|music_subscription|rent|utilities,none,none,none,none,none,none
request_08,user_08,2025-02-07,996.6,affordable_later,affordable_later,wait,wait,284.57,380.12,2025-04-15:996.60,2025-04-15:996.6,2025-04-15,2025-04-15,none,none,1536.57,800,1180.12,2025-02-13,salary,debt_repayment|delivery_membership|dining|education|groceries|music_subscription|rent|transport|utilities,none,none,none,none,none,none
request_10,user_10,2024-12-06,266700,not_affordable,not_affordable,not_recommended,not_recommended,12700,266700,none,none,,2024-12-06,none,none,750155,225400,726840.81,2024-12-08,salary,delivery_membership|dining|entertainment|groceries|gym|music_subscription|rent|transport|utilities,none,none,none,none,none,none
request_11,user_11,2025-05-03,13110000,affordable_with_plan,affordable_now,full_payment,full_payment,12510645,13110000,2025-05-03:13110000,2025-05-03:13110000,2025-07-15,2025-05-03,reduce_to:event_989:665950,none,63531795,34140600,73804558.33,2025-05-11,salary,cloud_storage|education|entertainment|healthcare|housing|insurance|transport|utilities,none,none,none,none,none,none
request_13,user_13,2024-03-07,941.6,affordable_later,affordable_now,wait,full_payment,433.4,941.6,2024-05-15:941.60,2024-03-07:941.6,2024-05-15,2024-03-07,none,none,2789.52,1300,2491.43,2024-03-14,salary,delivery_membership|dining|entertainment|groceries|gym|music_subscription|rent|transport|utilities,event_1161,none,none,none,none,none
request_14,user_14,2025-08-04,5414.2,not_affordable,not_affordable,not_recommended,not_recommended,597.74,0,none,none,,,none,none,3931.74,2200,-1803.92,2025-10-26,none,cloud_storage|debt_repayment|family_support|groceries|healthcare|rent|shopping|transport|utilities,none,none,none,none,none,none
request_15,user_15,2026-01-06,3685,not_affordable,not_affordable,not_recommended,not_recommended,83.05,0,none,none,,,none,none,1770.05,1200,-1674.56,2026-04-04,none,debt_repayment|delivery_membership|dining|education|groceries|music_subscription|rent|transport|utilities,none,none,none,none,none,none
request_17,user_17,2026-03-01,274600,affordable_with_plan,affordable_with_plan,installments,installments,243849.58,245429.79,2026-03-01:95194.67|2026-03-31:95194.67|2026-04-30:95194.67,2026-03-01:95194.67|2026-03-31:95194.67|2026-04-30:95194.67,2026-03-15,2026-04-18,none,none,550379.58,166100,411529.79,2026-03-14,salary,debt_repayment|delivery_membership|dining|education|groceries|music_subscription|rent|transport|utilities,event_1546,none,none,none,event_1545,none
request_18,user_18,2026-07-07,3246.1,affordable_later,affordable_later,wait,wait,462,646.35,2026-09-15:3246.10,2026-08-14:3246.1,2026-09-15,2026-08-14,none,none,2486,1400,2046.35,2026-07-14,salary,dining|healthcare|housing|insurance|streaming|transport|utilities,none,none,none,none,none,none
request_19,user_19,2024-09-04,39660,affordable_with_plan,affordable_with_plan,partial_payment,installments,28820,39660,2024-09-04:28820|2024-09-15:10840,2024-09-04:20623.2|2024-10-02:20623.2,2024-09-15,2024-09-04,none,none,199545,92800,154309.46,2024-09-13,salary,cloud_storage|debt_repayment|family_support|groceries|healthcare|rent|shopping|transport|utilities,none,none,none,none,event_1700,none
request_20,user_20,2026-02-07,303700,not_affordable,not_affordable,not_recommended,not_recommended,5400,22020.64,none,none,,,none,none,102609.05,64500,86520.64,2026-02-12,salary,cloud_storage|education|entertainment|healthcare|housing|insurance|transport|utilities,none,none,event_1787,none,event_1786,none
