request_id,user_id,category,direction,event_type_values,observation_count,historical_dates,intervals_days,median_interval_days,amounts,median_amount,inferred_by_current_engine
request_01,user_01,rent,debit,expense,6,2023-10-02|2023-11-02|2023-12-02|2024-01-02|2024-02-02|2024-03-02,31|30|31|31|29,31,5148.00|5148.00|5148.00|5148.00|5148.00|5148.00,5148.00,True
request_01,user_01,utilities,debit,expense,5,2023-10-06|2023-11-06|2023-12-06|2024-01-06|2024-02-06,31|30|31|31,31,1475.46|1483.81|1541.75|1651.81|1386.17,1483.81,True
request_01,user_01,education,debit,expense,5,2023-10-08|2023-11-08|2023-12-08|2024-01-08|2024-02-08,31|30|31|31,31,1821.60|1821.60|1821.60|1821.60|1821.60,1821.60,True
request_01,user_01,debt_repayment,debit,debt_payment,5,2023-10-11|2023-11-11|2023-12-11|2024-01-11|2024-02-11,31|30|31|31,31,3487.00|3487.00|3487.00|3487.00|3487.00,3487.00,True
request_01,user_01,music_subscription,debit,subscription,5,2023-10-11|2023-11-11|2023-12-11|2024-01-11|2024-02-11,31|30|31|31,31,235.40|235.40|235.40|235.40|235.40,235.40,True
request_01,user_01,delivery_membership,debit,subscription,5,2023-10-13|2023-11-13|2023-12-13|2024-01-13|2024-02-13,31|30|31|31,31,306.90|306.90|306.90|306.90|306.90,306.90,True
request_01,user_01,groceries,debit,expense,26,2023-09-08|2023-09-15|2023-09-22|2023-09-29|2023-10-06|2023-10-13|2023-10-20|2023-10-27|2023-11-03|2023-11-10|2023-11-17|2023-11-24|2023-12-01|2023-12-08|2023-12-15|2023-12-22|2023-12-29|2024-01-05|2024-01-12|2024-01-19|2024-01-26|2024-02-02|2024-02-09|2024-02-16|2024-02-23|2024-03-01,7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7,7,925.62|939.13|707.36|629.96|873.17|915.12|644.30|663.27|1030.10|672.37|803.55|644.43|882.48|602.87|765.64|651.12|899.04|961.46|875.35|756.39|624.94|719.51|755.11|881.22|626.01|964.05,761.02,True
request_01,user_01,transport,debit,expense,26,2023-09-09|2023-09-16|2023-09-23|2023-09-30|2023-10-07|2023-10-14|2023-10-21|2023-10-28|2023-11-04|2023-11-11|2023-11-18|2023-11-25|2023-12-02|2023-12-09|2023-12-16|2023-12-23|2023-12-30|2024-01-06|2024-01-13|2024-01-20|2024-01-27|2024-02-03|2024-02-10|2024-02-17|2024-02-24|2024-03-02,7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7,7,399.02|549.80|468.47|428.92|373.05|503.02|351.49|553.74|421.89|347.86|518.04|444.56|323.58|478.16|534.56|411.07|374.60|358.85|434.69|375.73|560.21|406.54|488.36|424.56|549.05|339.29,426.74,True
request_01,user_01,dining,debit,expense,13,2023-09-10|2023-09-24|2023-10-08|2023-10-22|2023-11-05|2023-11-19|2023-12-03|2023-12-17|2023-12-31|2024-01-14|2024-01-28|2024-02-11|2024-02-25,14|14|14|14|14|14|14|14|14|14|14|14,14,1213.78|1243.56|1128.35|1027.06|1070.17|956.70|1160.42|972.88|914.64|1017.11|1222.49|1016.12|1216.17,1070.17,True
request_01,user_01,shopping,debit,expense,2,2024-01-26|2024-02-17,22,22,583.00|816.20,699.60,False
request_02,user_02,salary,credit,income,5,2025-03-15|2025-04-15|2025-05-15|2025-06-15|2025-07-15,31|30|31|30,30.5,33345000.00|33345000.00|33345000.00|33345000.00|33345000.00,33345000.00,True
request_02,user_02,housing,debit,expense,6,2025-03-04|2025-04-04|2025-05-04|2025-06-04|2025-07-04|2025-08-04,31|30|31|30|31,31,3534000.00|3534000.00|3534000.00|3534000.00|3534000.00|3534000.00,3534000.00,True
request_02,user_02,utilities,debit,expense,5,2025-03-07|2025-04-07|2025-05-07|2025-06-07|2025-07-07,31|30|31|30,30.5,2143659.02|2081730.85|1830311.06|1981601.61|2141849.94,2081730.85,True
request_02,user_02,insurance,debit,expense,5,2025-03-08|2025-04-08|2025-05-08|2025-06-08|2025-07-08,31|30|31|30,30.5,1132400.00|1132400.00|1132400.00|1132400.00|1132400.00,1132400.00,True
request_02,user_02,education,debit,expense,5,2025-03-09|2025-04-09|2025-05-09|2025-06-09|2025-07-09,31|30|31|30,30.5,3040000.00|3040000.00|3040000.00|3040000.00|3040000.00,3040000.00,True
request_02,user_02,healthcare,debit,expense,5,2025-03-11|2025-04-11|2025-05-11|2025-06-11|2025-07-11,31|30|31|30,30.5,1594883.08|1467514.81|1452405.16|1641668.72|1538498.10,1538498.10,True
request_02,user_02,entertainment,debit,expense,5,2025-03-15|2025-04-15|2025-05-15|2025-06-15|2025-07-15,31|30|31|30,30.5,1289187.40|1367779.89|1287628.28|1193699.10|1352563.79,1289187.40,True
request_02,user_02,cloud_storage,debit,subscription,5,2025-03-13|2025-04-13|2025-05-13|2025-06-13|2025-07-13,31|30|31|30,30.5,369550.00|369550.00|369550.00|369550.00|369550.00,369550.00,True
request_02,user_02,groceries,debit,expense,18,2025-02-10|2025-02-20|2025-03-02|2025-03-12|2025-03-22|2025-04-01|2025-04-11|2025-04-21|2025-05-01|2025-05-11|2025-05-21|2025-05-31|2025-06-10|2025-06-20|2025-06-30|2025-07-10|2025-07-20|2025-07-30,10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10,10,2477697.53|1667911.86|1418745.34|1455258.76|1920485.70|1630631.42|1664708.05|1478895.05|2192475.45|1852958.27|2030400.43|1611886.08|2158165.32|2222527.88|2079368.25|2218141.61|2365919.60|1913686.86,1917086.28,False
request_02,user_02,transport,debit,expense,13,2025-02-11|2025-02-25|2025-03-11|2025-03-25|2025-04-08|2025-04-22|2025-05-06|2025-05-20|2025-06-03|2025-06-17|2025-07-01|2025-07-15|2025-07-29,14|14|14|14|14|14|14|14|14|14|14|14,14,1373039.34|995704.83|1062246.98|1053078.61|1294200.86|1440242.94|1021628.43|1374936.26|1329347.44|1309608.46|1111352.32|1327886.54|1062310.27,1294200.86,True
request_02,user_02,dining,debit,expense,9,2025-02-12|2025-03-05|2025-03-26|2025-04-16|2025-05-07|2025-05-28|2025-06-18|2025-07-09|2025-07-30,21|21|21|21|21|21|21|21,21,1166644.88|1101709.76|935929.08|1271076.93|971169.92|1111388.15|947892.35|1043758.65|1204805.34,1101709.76,False
request_03,user_03,salary,credit,income,6,2019-04-15|2019-05-15|2019-06-15|2019-07-15|2019-08-15|2019-08-20,30|31|30|31|5,30,4365000.00|4365000.00|4365000.00|4365000.00|4365000.00|1964250.00,4365000.00,True
request_03,user_03,rent,debit,expense,5,2019-04-04|2019-05-04|2019-06-04|2019-07-04|2019-08-04,30|31|30|31,30.5,1140000.00|1140000.00|1140000.00|1140000.00|1140000.00,1140000.00,True
request_03,user_03,utilities,debit,expense,5,2019-04-08|2019-05-08|2019-06-08|2019-07-08|2019-08-08,30|31|30|31,30.5,295330.29|290684.15|270537.63|303042.45|262344.55,290684.15,True
request_03,user_03,cloud_storage,debit,subscription,5,2019-04-14|2019-05-14|2019-06-14|2019-07-14|2019-08-14,30|31|30|31,30.5,20900.00|20900.00|20900.00|20900.00|20900.00,20900.00,True
request_03,user_03,streaming,debit,subscription,5,2019-04-11|2019-05-11|2019-06-11|2019-07-11|2019-08-11,30|31|30|31,30.5,117800.00|117800.00|117800.00|117800.00|117800.00,117800.00,True
request_03,user_03,shopping,debit,expense,5,2019-04-14|2019-05-14|2019-06-14|2019-07-14|2019-08-14,30|31|30|31,30.5,151493.37|184274.02|153395.26|173930.81|180395.29,173930.81,True
request_03,user_03,groceries,debit,expense,18,2019-03-12|2019-03-22|2019-04-01|2019-04-11|2019-04-21|2019-05-01|2019-05-11|2019-05-21|2019-05-31|2019-06-10|2019-06-20|2019-06-30|2019-07-10|2019-07-20|2019-07-30|2019-08-09|2019-08-19|2019-08-29,10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10,10,159576.52|234390.87|230312.98|234602.65|209875.85|178469.49|180577.99|155851.46|188355.72|166710.61|171495.67|145691.38|171259.18|173004.74|214266.98|221578.88|240706.45|200238.72,184466.86,False
request_03,user_03,transport,debit,expense,9,2019-03-13|2019-04-03|2019-04-24|2019-05-15|2019-06-05|2019-06-26|2019-07-17|2019-08-07|2019-08-28,21|21|21|21|21|21|21|21,21,81510.25|116319.21|71790.29|73531.06|106806.88|79693.97|83523.33|99961.13|106233.46,83523.33,False
request_03,user_03,dining,debit,expense,9,2019-03-09|2019-03-30|2019-04-20|2019-05-11|2019-06-01|2019-06-22|2019-07-13|2019-08-03|2019-08-24,21|21|21|21|21|21|21|21,21,117456.78|141412.46|146236.28|132247.64|158476.50|175170.67|171303.21|171191.99|135718.35,146236.28,False
request_04,user_04,salary,credit,income,6,2024-01-15|2024-02-15|2024-03-15|2024-03-22|2024-04-15|2024-05-15,31|29|7|24|30,29,38190000.00|38190000.00|38190000.00|10498464.28|38190000.00|38190000.00,38190000.00,True
request_04,user_04,rent,debit,expense,6,2024-01-01|2024-02-01|2024-03-01|2024-04-01|2024-05-01|2024-06-01,31|29|31|30|31,31,12293000.00|12293000.00|12293000.00|12293000.00|12293000.00|12293000.00,12293000.00,True
request_04,user_04,utilities,debit,expense,5,2024-01-05|2024-02-05|2024-03-05|2024-04-05|2024-05-05,31|29|31|30,30.5,2017103.37|1981052.47|2033868.83|1980834.82|2004118.60,2004118.60,True
request_04,user_04,music_subscription,debit,subscription,5,2024-01-10|2024-02-10|2024-03-10|2024-04-10|2024-05-10,31|29|31|30,30.5,332500.00|332500.00|332500.00|332500.00|332500.00,332500.00,True
request_04,user_04,delivery_membership,debit,subscription,5,2024-01-12|2024-02-12|2024-03-12|2024-04-12|2024-05-12,31|29|31|30,30.5,377150.00|377150.00|377150.00|377150.00|377150.00,377150.00,True
request_04,user_04,gym,debit,subscription,5,2024-01-09|2024-02-09|2024-03-09|2024-04-09|2024-05-09,31|29|31|30,30.5,1027900.00|1027900.00|1027900.00|1027900.00|1027900.00,1027900.00,True
request_04,user_04,entertainment,debit,expense,5,2024-01-13|2024-02-13|2024-03-13|2024-04-13|2024-05-13,31|29|31|30,30.5,1484369.68|1375854.05|1542620.00|1291303.65|1231859.39,1375854.05,True
request_04,user_04,groceries,debit,expense,26,2023-12-09|2023-12-16|2023-12-23|2023-12-30|2024-01-06|2024-01-13|2024-01-20|2024-01-27|2024-02-03|2024-02-10|2024-02-17|2024-02-24|2024-03-02|2024-03-09|2024-03-16|2024-03-23|2024-03-30|2024-04-06|2024-04-13|2024-04-20|2024-04-27|2024-05-04|2024-05-11|2024-05-18|2024-05-25|2024-06-01,7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7,7,1685953.79|1749986.60|1383275.31|1482897.31|1818044.76|1413898.40|1351288.83|1178544.55|1697006.55|1087788.82|1753801.95|1203621.92|1674003.66|1347842.61|1453711.32|1447770.09|1261462.72|1825667.28|1184189.40|1617937.79|1519414.73|1831437.58|1698278.31|1075064.04|1809752.54|1433695.50,1468304.32,True
request_04,user_04,transport,debit,expense,26,2023-12-10|2023-12-17|2023-12-24|2023-12-31|2024-01-07|2024-01-14|2024-01-21|2024-01-28|2024-02-04|2024-02-11|2024-02-18|2024-02-25|2024-03-03|2024-03-10|2024-03-17|2024-03-24|2024-03-31|2024-04-07|2024-04-14|2024-04-21|2024-04-28|2024-05-05|2024-05-12|2024-05-19|2024-05-26|2024-06-02,7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7,7,649231.24|876705.51|825832.49|769694.20|841811.01|820888.17|870102.58|1011616.29|596927.82|595968.94|954666.65|843406.32|589707.32|997182.25|677221.86|889762.96|842011.07|1000668.29|935850.82|874634.88|766019.04|1030376.90|912938.95|853091.62|602450.01|1016425.58,848248.97,True
request_04,user_04,dining,debit,expense,13,2023-12-11|2023-12-25|2024-01-08|2024-01-22|2024-02-05|2024-02-19|2024-03-04|2024-03-18|2024-04-01|2024-04-15|2024-04-29|2024-05-13|2024-05-27,14|14|14|14|14|14|14|14|14|14|14|14,14,2111827.25|1839656.04|1279029.86|2067659.14|1650545.96|1931412.81|1551598.07|2102251.18|1282286.60|1259307.64|1661337.11|1886856.10|2108488.15,1839656.04,True
request_05,user_05,salary,credit,income,5,2025-06-15|2025-07-15|2025-08-15|2025-09-15|2025-10-15,30|31|31|30,30.5,14740.00|14740.00|14740.00|14740.00|14740.00,14740.00,True
request_05,user_05,rent,debit,expense,6,2025-06-02|2025-07-02|2025-08-02|2025-09-02|2025-10-02|2025-11-02,30|31|31|30|31,31,4972.00|4972.00|4972.00|4972.00|4972.00|4972.00,4972.00,True
request_05,user_05,utilities,debit,expense,5,2025-06-06|2025-07-06|2025-08-06|2025-09-06|2025-10-06,30|31|31|30,30.5,604.15|658.41|750.89|706.37|713.71,706.37,True
