request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,Pay IDR 15656000 today. This protects the IDR 24768300 minimum.
request_27,6670,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,Pay ZAR 6670 today. This protects the ZAR 20500 minimum.
request_28,220.42,not_affordable,not_recommended,none,2024-08-18,none,Do not proceed with the EUR 1302.4 request. None of the available options keeps the EUR 1100 minimum protected.
request_29,51524,affordable_now,full_payment,2025-11-04:51524,2025-11-04,none,Pay ZAR 51524 today. This protects the ZAR 28300 minimum.
request_30,775.2,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,"Use 3 installments of USD 268.74, starting 2026-04-06."
request_31,2732930.06,affordable_later,wait,2024-09-14:18164000,2024-09-14,none,Pay IDR 18164000 in full on 2024-09-14. Paying earlier would risk the IDR 16588900 minimum.
request_32,0,not_affordable,not_recommended,none,,none,Do not proceed with the ZAR 40018 request. None of the available options keeps the ZAR 35700 minimum protected.
request_33,42803.5,affordable_later,wait,2026-03-15:118000,2026-03-15,none,Pay INR 118000 in full on 2026-03-15. Paying earlier would risk the INR 102100 minimum.
request_34,129400,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,Pay INR 129400 today. This protects the INR 138500 minimum.
request_35,22877.65,not_affordable,not_recommended,none,2026-01-16,none,Do not proceed with the INR 212000 request. None of the available options keeps the INR 106400 minimum protected.
request_36,732.59,affordable_later,wait,2026-09-13:3954,2026-09-13,none,Pay USD 3954 in full on 2026-09-13. Paying earlier would risk the USD 2400 minimum.
request_37,2733680.89,not_affordable,not_recommended,none,2024-05-23,none,Do not proceed with the IDR 14649000 request. None of the available options keeps the IDR 17056200 minimum protected.
request_38,264.82,affordable_later,wait,2025-09-13:971.3,2025-09-13,none,Pay EUR 971.3 in full on 2025-09-13. Paying earlier would risk the EUR 400 minimum.
request_39,143048.57,affordable_later,wait,2026-05-14:208600,2026-05-14,none,Pay INR 208600 in full on 2026-05-14. Paying earlier would risk the INR 213400 minimum.
request_40,0,not_affordable,not_recommended,none,,none,Do not proceed with the EUR 1290.3 request. None of the available options keeps the EUR 1500 minimum protected.
request_41,9644798.17,affordable_later,wait,2026-01-13:38760000,2026-01-13,none,Pay IDR 38760000 in full on 2026-01-13. Paying earlier would risk the IDR 25366600 minimum.
request_42,52100,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,Pay INR 52100 today. This protects the INR 113100 minimum.
request_43,9802940.49,affordable_later,wait,2024-11-13:43339000,2024-11-13,none,Pay IDR 43339000 in full on 2024-11-13. Paying earlier would risk the IDR 21398000 minimum.
request_44,0,not_affordable,not_recommended,none,,none,Do not proceed with the INR 95800 request. None of the available options keeps the INR 82900 minimum protected.
request_45,4014849.93,affordable_later,wait,2026-09-13:21983000,2026-09-13,none,Pay IDR 21983000 in full on 2026-09-13. Paying earlier would risk the IDR 11149800 minimum.
request_46,35126.66,affordable_with_plan,installments,2024-12-03:25714|2024-12-31:25714,2024-12-15,none,"Use 2 installments of INR 25714, starting 2024-12-03."
